State,Year,total,Rank
Alabama,1980,513,13.0
Alabama,1990,463,14.0
Alabama,2000,235,20.0
Alabama,2010,191,22.0
Alaska,1980,47,41.0
Alaska,2010,43,40.0
Alaska,1990,37,41.0
Alaska,2000,35,39.0
Arizona,2010,400,14.0
Arizona,2000,385,14.0
Arizona,1990,301,19.0
Arizona,1980,293,22.0
Arkansas,1990,254,22.0
Arkansas,1980,214,26.0
Arkansas,2000,163,25.0
Arkansas,2010,141,30.0
California,1990,3862,1.0
California,1980,3590,1.0
California,2000,2219,1.0
California,2010,1948,1.0
Colorado,1980,198,27.0
Colorado,1990,166,29.0
Colorado,2010,145,28.0
Colorado,2000,134,27.0
Connecticut,1990,177,28.0
Connecticut,1980,158,30.0
Connecticut,2010,134,31.0
Connecticut,2000,100,31.0
Delaware,2010,52,39.0
Delaware,1980,44,42.0
Delaware,1990,33,43.0
Delaware,2000,27,42.0
District of Columbia,1990,481,13.0
District of Columbia,1980,180,28.0
District of Columbia,2010,134,31.0
Florida,1980,1508,4.0
Florida,2010,1130,3.0
Florida,2000,815,4.0
Georgia,1990,737,7.0
Georgia,2010,565,7.0
Georgia,2000,508,10.0
Georgia,1980,475,15.0
Hawaii,1980,84,37.0
Hawaii,1990,45,39.0
Hawaii,2000,35,39.0
Hawaii,2010,27,43.0
Idaho,1990,34,42.0
Idaho,1980,30,46.0
Idaho,2010,22,46.0
Idaho,2000,17,43.0
Illinois,1980,1323,5.0
Illinois,1990,773,6.0
Illinois,2000,647,6.0
Illinois,2010,472,10.0
Indiana,1980,409,18.0
Indiana,2000,308,17.0
Indiana,2010,291,18.0
Indiana,1990,264,21.0
Iowa,1980,63,38.0
Iowa,1990,52,37.0
Iowa,2000,52,36.0
Iowa,2010,39,41.0
Kansas,1980,163,29.0
Kansas,2010,107,33.0
Kansas,1990,98,33.0
Kansas,2000,49,37.0
Kentucky,1980,389,19.0
Kentucky,1990,248,24.0
Kentucky,2010,189,23.0
Kentucky,2000,73,32.0
Louisiana,1990,611,10.0
Louisiana,2000,558,9.0
Louisiana,1980,549,10.0
Louisiana,2010,493,8.0
Maine,1980,36,44.0
Maine,2010,27,43.0
Maine,1990,18,46.0
Maine,2000,15,44.0
Maryland,1990,578,11.0
Maryland,2000,462,11.0
Maryland,2010,445,13.0
Maryland,1980,432,17.0
Massachusetts,1980,223,23.0
Massachusetts,2010,219,20.0
Massachusetts,1990,186,26.0
Massachusetts,2000,119,29.0
Michigan,1990,997,4.0
Michigan,1980,973,6.0
Michigan,2000,694,5.0
Michigan,2010,606,6.0
Minnesota,2000,113,30.0
Minnesota,1980,112,36.0
Minnesota,2010,105,34.0
Minnesota,1990,65,35.0
Mississippi,1980,218,25.0
Mississippi,1990,178,27.0
Mississippi,2000,174,23.0
Mississippi,2010,174,26.0
Missouri,1980,531,12.0
Missouri,2010,450,12.0
Missouri,1990,438,16.0
Missouri,2000,343,16.0
Montana,1980,29,47.0
Montana,2010,23,45.0
Montana,2000,12,46.0
Montana,1990,1,50.0
Nebraska,1980,58,39.0
Nebraska,2010,58,36.0
Nebraska,1990,42,40.0
Nebraska,2000,29,41.0
Nevada,2010,175,24.0
Nevada,1980,154,31.0
Nevada,2000,135,26.0
Nevada,1990,105,32.0
New Hampshire,1980,24,48.0
New Hampshire,1990,21,45.0
New Hampshire,2000,15,44.0
New Hampshire,2010,13,48.0
New Jersey,1980,534,11.0
New Jersey,1990,443,15.0
New Jersey,2010,392,16.0
New Jersey,2000,298,18.0
New Mexico,2010,142,29.0
New Mexico,1980,141,33.0
New Mexico,2000,126,28.0
New Mexico,1990,96,34.0
New York,1990,2268,3.0
New York,1980,2197,3.0
New York,2000,956,3.0
New York,2010,863,4.0
North Carolina,1990,704,8.0
North Carolina,1980,628,9.0
North Carolina,2000,570,8.0
North Carolina,2010,468,11.0
North Dakota,1980,9,49.0
North Dakota,2010,9,49.0
North Dakota,1990,5,49.0
North Dakota,2000,4,50.0
Ohio,1980,879,7.0
Ohio,1990,634,9.0
Ohio,2010,481,9.0
Ohio,2000,372,15.0
Oklahoma,1980,320,21.0
Oklahoma,1990,272,20.0
Oklahoma,2010,209,21.0
Oklahoma,2000,202,22.0
Oregon,1980,141,33.0
Oregon,1990,125,30.0
Oregon,2010,93,35.0
Oregon,2000,71,33.0
Pennsylvania,1980,844,8.0
Pennsylvania,1990,784,5.0
Pennsylvania,2010,699,5.0
Pennsylvania,2000,604,7.0
Rhodes Island,1990,48,38.0
Rhodes Island,2000,45,38.0
Rhodes Island,1980,43,43.0
Rhodes Island,2010,30,42.0
South Carolina,1990,422,18.0
South Carolina,1980,367,20.0
South Carolina,2000,288,19.0
South Carolina,2010,278,19.0
South Dakota,2010,17,47.0
South Dakota,1990,14,47.0
South Dakota,2000,8,49.0
South Dakota,1980,5,51.0
Tennessee,1980,497,14.0
Tennessee,2000,435,12.0
Tennessee,1990,433,17.0
Tennessee,2010,397,15.0
Texas,1990,2485,2.0
Texas,1980,2402,2.0
Texas,2010,1363,2.0
Texas,2000,1308,2.0
Utah,2010,58,36.0
Utah,2000,54,35.0
Utah,1980,53,40.0
Utah,1990,53,36.0
Vermont,1990,14,47.0
Vermont,2000,10,48.0
Vermont,1980,9,49.0
Vermont,2010,7,51.0
Virginia,1990,561,12.0
Virginia,1980,468,16.0
Virginia,2000,398,13.0
Virginia,2010,387,17.0
Washington,1990,249,23.0
Washington,1980,222,24.0
Washington,2000,203,21.0
Washington,2010,175,24.0
West Virginia,1980,134,35.0
West Virginia,1990,110,31.0
West Virginia,2000,64,34.0
West Virginia,2010,57,38.0
Wisconsin,1990,238,25.0
Wisconsin,2000,172,24.0
Wisconsin,2010,170,27.0
Wisconsin,1980,145,32.0
Wyoming,1980,34,45.0
Wyoming,1990,23,44.0
Wyoming,2000,12,46.0
Wyoming,2010,8,50.0
